name,lat,lng,address
TAMPINES MALL,1.35252737278519,103.944698751072,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510
TAMPINES 1,1.3522279450458,103.952437443086,203 TAMPINES STREET 21 PCF TAMPINES EAST 3-IN-1 FAMILY CENTRE (STUDENT CARE)
CENTURY SQUARE,1.35236829566862,103.943812302253,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509
OUR TAMPINES HUB,1.35354740485205,103.940381104547,1 TAMPINES WALK HAWKER CENTRE @ OUR TAMPINES HUB
EASTPOINT MALL,1.34270592355576,103.953024618234,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833
BEDOK MALL,1.32473632784728,103.929256259998,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360
DJITSUN MALL BEDOK,1.32611970329469,103.929554495615,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661
CHANGI CITY POINT,1.33403637902708,103.962917615531,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT
JEWEL CHANGI AIRPORT,1.3603410066102,103.98907755021,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666
DOWNTOWN EAST,1.37912717878008,103.955444758145,1 PASIR RIS CLOSE COSTA SANDS RESORT (DOWNTOWN EAST) SINGAPORE 519599
WHITE SANDS,1.36563610941695,103.960861814678,2 PASIR RIS STREET 11 LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL)
LOYANG POINT,1.36645364010349,103.964598499523,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259
NEX SERANGOON,1.35076935257845,103.872296143862,23 SERANGOON CENTRAL NEX SINGAPORE 556083
HOUGANG MALL,1.3792452907016,103.887832017102,21 HOUGANG STREET 51 HOUGANG GREEN SHOPPING MALL SINGAPORE 538719
HEARTLAND MALL KOVAN,1.35954177325561,103.885167372726,205 HOUGANG STREET 21 HEARTLAND MALL-KOVAN SINGAPORE 530205
HOUGANG 1,1.37571530699875,103.879472337592,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692
MYVILLAGE AT SERANGOON GARDEN,1.36511490572797,103.865159501442,1 MAJU AVENUE MYVILLAGE AT SERANGOON GARDEN SINGAPORE 556679
COMPASS ONE,1.39205314156706,103.89507054384,1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078
SENGKANG GRAND MALL,1.38298163203344,103.892721007746,70 COMPASSVALE BOW SENGKANG GRAND MALL SINGAPORE 544692
WATERWAY POINT,1.40653611690554,103.90198817171,83 PUNGGOL CENTRAL SHAW THEATRES WATERWAY POINT
PUNGGOL PLAZA,1.39423719717117,103.913047323223,168 PUNGGOL FIELD PUNGGOL PLAZA SINGAPORE 820168
PUNGGOL COAST MALL,1.41471059297026,103.910831439652,88 PUNGGOL WAY PUNGGOL COAST MALL
NORTHSHORE PLAZA,1.41822529971279,103.901073890466,418 NORTHSHORE DRIVE CANTINE NORTHSHORE PLAZA II
OASIS TERRACES PUNGGOL,1.40278015725693,103.913215101343,681 PUNGGOL DRIVE OASIS TERRACES SINGAPORE 820681
AMK HUB,1.36922321403001,103.848467911464,53 ANG MO KIO AVENUE 3 AMK HUB
JUNCTION 8 BISHAN,1.3504812534505,103.848760473211,9 BISHAN PLACE JUNCTION 8 SINGAPORE 579837
BISHAN NORTH SHOPPING MALL,1.35814432379457,103.844756001146,282 BISHAN STREET 22 BISHAN NORTH SHOPPING MALL SINGAPORE 570282
THOMSON PLAZA,1.35466902496424,103.830919782333,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408
BROADWAY PLAZA ANG MO KIO,1.37193729131781,103.845949444498,4190 ANG MO KIO AVENUE 6 BROADWAY PLAZA SINGAPORE 569841
TOA PAYOH HDB HUB,1.33205485190481,103.848507643079,480 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310480
TOA PAYOH CENTRAL,1.33286675494901,103.849736595412,TOA PAYOH CENTRAL
CAUSEWAY POINT,1.4360700650803,103.785981524253,1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099
NORTHPOINT CITY,1.42969848626288,103.835776491468,930 YISHUN AVENUE 2 NORTHPOINT CITY SINGAPORE 769098
SEMBAWANG SHOPPING CENTRE,1.44182470675733,103.824845207237,604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459
SUN PLAZA SEMBAWANG,1.44819535371132,103.819502127155,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713
WISTERIA MALL,1.41795288501536,103.841268831617,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698
JUNCTION NINE YISHUN,1.4331228398318,103.84166098599,18 YISHUN AVENUE 9 JUNCTION NINE SINGAPORE 768897
CANBERRA PLAZA,1.44349544527985,103.830345369213,133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133
MARSILING MALL,1.43354318137534,103.77988189197,4 WOODLANDS STREET 12 MARSILING MALL HAWKER CENTRE SINGAPORE 738623
JEM JURONG,1.33329334473462,103.743278742341,50 JURONG GATEWAY ROAD JEM SINGAPORE 608549
WESTGATE SINGAPORE,1.33415767556867,103.742766484424,3 GATEWAY DRIVE WESTGATE SINGAPORE 608532
IMM BUILDING,1.33487526118006,103.746894773008,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601
JURONG POINT,1.3394520043632,103.706685012926,1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT)
PIONEER MALL,1.34169239214292,103.697174842118,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638
GEK POH SHOPPING CENTRE,1.34874357136408,103.697732091001,762 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640762
BOON LAY SHOPPING CENTRE,1.34633552457315,103.712430373455,221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221
TAMAN JURONG SHOPPING CENTRE,1.33484487416514,103.720462024278,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399
WEST MALL BUKIT BATOK,1.35001920979845,103.749244800677,1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713
LOT ONE SHOPPERS MALL,1.38497459672379,103.745011766388,"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL SINGAPORE 689812"
HILLION MALL,1.37843100827586,103.762842789877,17 PETIR ROAD HILLION MALL SINGAPORE 678278
BUKIT PANJANG PLAZA,1.37992045176243,103.764357180314,1 JELEBU ROAD BUKIT PANJANG PLAZA SINGAPORE 677743
