name,lat,lng,address,postal_code,type,popularity_school,mean_oversubscription,num_years,tier
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.300541,103.785438,100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,PRIMARY,Fairfield Methodist,1.0868437118437118,6.0,high
GONGSHANG PRIMARY SCHOOL,1.357237,103.949115,1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,PRIMARY,Gongshang,1.0335230032445455,6.0,high
HENRY PARK PRIMARY SCHOOL,1.316676,103.784296,1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790,278790,PRIMARY,Henry Park,1.0528651903651902,6.0,high
HOLY INNOCENTS' PRIMARY SCHOOL,1.366938,103.894115,5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451,536451,PRIMARY,Holy Innocents’,1.0462463917549447,6.0,high
NAN CHIAU PRIMARY SCHOOL,1.392211,103.891181,50 ANCHORVALE LINK NAN CHIAU PRIMARY SCHOOL SINGAPORE 545080,545080,PRIMARY,Nan Chiau,1.0140106747998476,6.0,high
NAN HUA PRIMARY SCHOOL,1.319202,103.761095,30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL SINGAPORE 128806,128806,PRIMARY,Nan Hua,1.046847888953152,6.0,high
NANYANG PRIMARY SCHOOL,1.320847,103.80775,52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097,268097,PRIMARY,Nanyang,1.0512932973459288,6.0,high
RIVER VALLEY PRIMARY SCHOOL,1.294223,103.835815,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,237993,PRIMARY,River Valley,1.0585470164731174,6.0,high
RULANG PRIMARY SCHOOL,1.346739,103.718458,6 JURONG WEST STREET 52 RULANG PRIMARY SCHOOL SINGAPORE 649295,649295,PRIMARY,Rulang,1.0171052631578947,6.0,high
SAINT HILDA'S PRIMARY SCHOOL,1.349386,103.937007,2 TAMPINES AVENUE 3 SAINT HILDA'S PRIMARY SCHOOL SINGAPORE 529706,529706,PRIMARY,St. Hilda’s,1.0462719298245613,6.0,high
ADMIRALTY PRIMARY SCHOOL,1.442635,103.80004,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,PRIMARY,Admiralty,1.0130060588135124,6.0,high
ALEXANDRA PRIMARY SCHOOL,1.291334,103.824425,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,PRIMARY,Alexandra,1.030745912786865,6.0,high
NORTHLAND PRIMARY SCHOOL,1.42097,103.840928,15 YISHUN AVENUE 4 NORTHLAND PRIMARY SCHOOL SINGAPORE 769026,769026,PRIMARY,Northland,1.0323732475171397,6.0,high
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338056,103.776106,7 PEI WAH AVENUE PEI HWA PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 597610,597610,PRIMARY,Pei Hwa Presbyterian,1.0519680611785875,6.0,high
PRINCESS ELIZABETH PRIMARY SCHOOL,1.349204,103.74102,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,659163,PRIMARY,Princess Elizabeth,1.012121212121212,6.0,high
QIFA PRIMARY SCHOOL,1.313251,103.756743,50 WEST COAST AVENUE QIFA PRIMARY SCHOOL SINGAPORE 128104,128104,PRIMARY,Qifa,1.013450869246112,6.0,high
RAFFLES GIRLS' PRIMARY SCHOOL,1.329404,103.806443,21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072,289072,PRIMARY,Raffles Girls’,1.0109808137768663,6.0,high
SOUTH VIEW PRIMARY SCHOOL,1.381667,103.746276,6 CHOA CHU KANG CENTRAL SOUTH VIEW PRIMARY SCHOOL SINGAPORE 689762,689762,PRIMARY,South View,1.0300326135852451,6.0,high
TEMASEK PRIMARY SCHOOL,1.317707,103.945591,501 BEDOK SOUTH AVENUE 3 TEMASEK PRIMARY SCHOOL SINGAPORE 469300,469300,PRIMARY,Temasek,1.0124818203143326,6.0,high
YANGZHENG PRIMARY SCHOOL,1.348646,103.868596,15 SERANGOON AVENUE 3 YANGZHENG PRIMARY SCHOOL SINGAPORE 556108,556108,PRIMARY,Yangzheng,1.032505527507227,6.0,high
ANDERSON PRIMARY SCHOOL,1.384264,103.841392,19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785,569785,PRIMARY,Anderson,1.0314780415956264,6.0,high
ANGSANA PRIMARY SCHOOL,1.363606,103.938941,51 TAMPINES STREET 61 ANGSANA PRIMARY SCHOOL SINGAPORE 528565,528565,PRIMARY,Angsana,0.7321304768911244,6.0,high
CANBERRA PRIMARY SCHOOL,1.45125,103.815859,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,757714,PRIMARY,Canberra,1.0058338878651378,6.0,high
NGEE ANN PRIMARY SCHOOL,1.305525,103.917463,344 MARINE TERRACE NGEE ANN PRIMARY SCHOOL SINGAPORE 449149,449149,PRIMARY,Ngee Ann,0.9901443319224332,6.0,medium
SAINT ANTHONY'S PRIMARY SCHOOL,1.364119,103.749252,30 BUKIT BATOK STREET 32 SAINT ANTHONY'S PRIMARY SCHOOL SINGAPORE 659401,659401,PRIMARY,St. Anthony’s,1.020383294909973,6.0,high
SHUQUN PRIMARY SCHOOL,1.347653,103.721524,8 JURONG WEST STREET 51 SHUQUN PRIMARY SCHOOL SINGAPORE 649332,649332,PRIMARY,Shuqun,1.0182471264367816,6.0,high
TANJONG KATONG PRIMARY SCHOOL,1.305258,103.900163,10 SERAYA ROAD TANJONG KATONG PRIMARY SCHOOL SINGAPORE 437259,437259,PRIMARY,Tanjong Katong,1.0369802485187067,6.0,high
WELLINGTON PRIMARY SCHOOL,1.45192,103.822304,10 WELLINGTON CIRCLE WELLINGTON PRIMARY SCHOOL SINGAPORE 757702,757702,PRIMARY,Wellington,1.0143981002223756,6.0,high
YU NENG PRIMARY SCHOOL,1.333889,103.932145,56 BEDOK NORTH STREET 3 YU NENG PRIMARY SCHOOL SINGAPORE 469623,469623,PRIMARY,Yu Neng,1.0403623692710855,6.0,high
BUKIT PANJANG PRIMARY SCHOOL,1.373622,103.769375,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676,679676,PRIMARY,Bukit Panjang,1.0303816660646703,6.0,high
